case_name,geom_file,Gx,tau_huang,thetaA_quartz_deg,thetaA_hydrate_deg,OUTPUT_EVERY,file_dir,hs_case_tag,hs_mode,hs_target_Sh
cgan_00020_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00020/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00020_Gx5e-05,cgan_00020,cgan,-1.0
cgan_00021_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00021/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00021_Gx1e-05,cgan_00021,cgan,-1.0
cgan_00021_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00021/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00021_Gx5e-05,cgan_00021,cgan,-1.0
cgan_00022_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00022/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00022_Gx1e-05,cgan_00022,cgan,-1.0
cgan_00022_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00022/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00022_Gx5e-05,cgan_00022,cgan,-1.0
cgan_00023_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00023/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00023_Gx1e-05,cgan_00023,cgan,-1.0
cgan_00023_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00023/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00023_Gx5e-05,cgan_00023,cgan,-1.0
cgan_00024_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00024/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00024_Gx1e-05,cgan_00024,cgan,-1.0
cgan_00024_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00024/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00024_Gx5e-05,cgan_00024,cgan,-1.0
cgan_00025_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00025/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00025_Gx1e-05,cgan_00025,cgan,-1.0
cgan_00025_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00025/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00025_Gx5e-05,cgan_00025,cgan,-1.0
cgan_00026_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00026/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00026_Gx1e-05,cgan_00026,cgan,-1.0
cgan_00026_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00026/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00026_Gx5e-05,cgan_00026,cgan,-1.0
cgan_00027_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00027/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00027_Gx1e-05,cgan_00027,cgan,-1.0
cgan_00027_Gx5e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00027/geometry_case.plt,5.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00027_Gx5e-05,cgan_00027,cgan,-1.0
cgan_00028_Gx1e-05,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/data/cases/hydrate_ct_cgan_lbm_match_optimized/cgan_00028/geometry_case.plt,1.00000000e-05,1.5,30,30,5000,/home/server/projects/lbm_twoflow/complex-porous-media/hydrate_structure/results/20260526/cgan_00028_Gx1e-05,cgan_00028,cgan,-1.0
